10735830,27.518726
10521113,34.483272
10306396,27.415478
10091679,27.274088
9876962,26.348700
9662245,25.500087
9447528,25.931502
9232811,27.056978
9018094,25.624949
8803377,24.885991
8588660,25.379759
8373943,24.526382
8159226,23.620803
7944509,21.441032
7729792,21.494903
7515075,20.354628
7300358,20.076220
7085641,19.587210
6870924,18.986219
6656207,18.641540
6441490,17.907003
6226773,17.404847
6012056,16.880474
5797339,16.179556
5582622,15.825255
5367905,16.039854
5153188,15.301234
4938471,15.413260
4723754,14.807087
4509037,14.206956
4294320,13.741321
4079603,12.872599
3864886,12.493384
3650169,11.847604
3435452,11.838004
3220735,11.162936
3006018,10.730319
2791301,10.412641
2576584,10.431582
2361867,10.155911
2147150,9.477038
1932433,9.171367
1717716,9.652211
1502999,12.733979
1288282,9.997809
1073565,9.282369
858848,9.020719
644131,8.823556
429414,9.509333
214697,9.288953
